Battles found in maps:
arn_02   : 0E0A0001 0E0D0001 0E030001 
arn_03   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
arn_04   : 0E090001 0E030001 0E0C0001 0E0E0001 
arn_05   : 00000000 00000000 00000000 00000000 00000000 
arn_07   : 0E060002 0E070002 0E080002 0E100002 00000000 00000000 00000000 00000000 
arn_08   : 00000000 00000000 
arn_09   : 00000000 
arn_10   : 00000000 0E000005 
arn_11   : 0E0F0000 
arn_12   : 00000000 0E010005 
arn_13   : 00000000 0E020005 
dgb_00   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 
dgb_01   : 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 0F040001 00000000 00000000 00000000 00000000 0F040001 00000000 00000000 00000000 00000000 0F040000 
dgb_02   : 0F020001 0F010001 
dgb_03   : 0F010002 0F010002 0F030001 
dgb_04   : 00000000 
dgb_05   : 0F010003 0F020003 
dgb_06   : 00000000 
dgb_07   : 0F010003 
dgb_08   : 0F020003 0F020003 0F020003 0F030003 00000000 00000000 0F040001 00000000 
dgb_09   : 0F030001 0F010001 00000000 
dgb_15   : 0F040001 
dgb_16   : 0F030003 0F000003 0F000003 0F000003 0F010003 0F010003 
dgb_18   : 0F040000 00000000 
dro_01   : 00000000 00000000 00000000 
dro_02   : 00000000 
flo_00   : 00000000 00000000 00000000 00000000 00000000 00000000 
flo_03   : 00000000 180F0002 19020002 19010002 19030002 19040002 
flo_07   : 00000000 
flo_08   : 00000000 18140001 180F0001 180F0002 180F0002 180F0002 180F0002 18120002 181C0001 
flo_09   : 18100005 18150005 18170002 18170002 
flo_10   : 00000000 
flo_11   : 18070009 
flo_12   : 00000000 
flo_13   : 18060005 18040005 180C0003 180C0003 180C0003 180C0003 180C0003 180C0003 19050002 00000000 00000000 
flo_14   : 00000000 18190001 
flo_15   : 00000000 
flo_16   : 18240006 18200006 
flo_17   : 18090003 180A0003 180C0003 180C0003 180C0003 180C0003 
flo_18   : 180B0007 
flo_21   : 19000008 181F0008 
flo_22   : 18170003 180F0002 
flo_23   : 180C0003 180D0003 00000000 
flo_25   : 18220006 181A0002 00000000 
hos_00   : 00000000 04000000 04030000 
hos_01   : 00000000 
hos_02   : 04010002 04010002 04010002 
hos_03   : 00000000 
hos_04   : 00000000 
hos_05   : 00000000 00000000 00000000 
hos_06   : 00000000 
hos_10   : 00000000 00000000 
isk_02   : 0B000006 0B000006 0B010006 
isk_04   : 0B090004 0B090004 
isk_05   : 0B07000A 
isk_07   : 0B00000D 0B02000D 0B03000D 
isk_08   : 0B0A0004 
isk_13   : 0B07000B 
isk_14   : 0B07000C 
isk_16   : 0C000002 00000000 
isk_18   : 0B0F0009 0B130009 0B0C0009 
iwa_00   : 09060002 09070002 00000000 
iwa_01   : 09060002 09070002 09060002 09070002 09040002 
iwa_02   : 09030002 09010002 09000002 09050002 00000000 
